umap1,umap2,sentiment,rating,main_category
3.158975,6.9399767,positive,5.0,Cell Phones & Accessories
-0.7449521,8.112232,positive,4.0,Camera & Photo
0.5484635,4.267699,positive,4.0,Industrial & Scientific
1.6070521,7.871997,positive,5.0,Office Products
2.9228547,8.218883,positive,5.0,Computers
2.002353,5.5066595,negative,1.0,Computers
-0.7404428,6.384547,neutral,3.0,Computers
-0.76717955,7.997188,negative,2.0,Cell Phones & Accessories
-0.038472272,5.42828,neutral,3.0,Industrial & Scientific
3.8319733,6.8391447,negative,2.0,All Electronics
1.0909697,1.7479275,positive,5.0,Home Audio & Theater
-1.5184214,4.0431876,positive,4.0,All Electronics
2.5045505,2.3372695,neutral,3.0,All Electronics
0.40381715,7.6713896,neutral,3.0,Computers
1.1131157,4.183567,positive,4.0,All Electronics
3.9139493,6.9178057,negative,1.0,Computers
2.868939,6.4320807,neutral,3.0,Automotive
3.9220002,7.174653,neutral,3.0,Computers
1.0579741,1.8672087,neutral,3.0,All Electronics
1.8511351,5.880836,neutral,3.0,Camera & Photo
2.9299045,7.527499,positive,5.0,Computers
-0.3060086,7.938391,positive,4.0,Cell Phones & Accessories
0.27555218,9.013804,positive,5.0,Camera & Photo
1.0362301,2.071997,positive,5.0,Amazon Devices
-1.2216942,6.328194,positive,5.0,Computers
-0.6042842,8.009582,neutral,3.0,Car Electronics
0.19650947,5.064561,neutral,3.0,All Electronics
-1.9699212,4.1503105,negative,1.0,Cell Phones & Accessories
-0.14819133,1.9999878,neutral,3.0,Amazon Devices
2.2736902,3.016213,neutral,3.0,All Electronics
3.167754,7.869247,positive,4.0,All Electronics
-3.4827938,5.8819537,positive,4.0,Amazon Devices
-3.2998078,6.392042,positive,5.0,Office Products
0.11941541,2.3556974,negative,1.0,Home Audio & Theater
3.3634748,8.275931,positive,5.0,Cell Phones & Accessories
3.9762359,7.21535,neutral,3.0,All Electronics
2.858182,2.0669267,neutral,3.0,Amazon Devices
2.9449267,7.371432,positive,4.0,Amazon Devices
-3.3046415,6.251838,positive,5.0,Camera & Photo
1.374815,1.8280743,neutral,3.0,All Electronics
-0.70598364,5.1352797,neutral,3.0,Computers
-0.69827455,8.942486,positive,5.0,Camera & Photo
-1.241912,7.574298,neutral,3.0,Computers
2.7438178,7.054244,positive,4.0,Camera & Photo
-1.50496,6.537177,positive,5.0,Computers
-0.95405936,3.1983373,neutral,3.0,Home Audio & Theater
0.44299766,4.6455126,negative,2.0,All Electronics
-0.3168822,5.0558743,negative,1.0,All Electronics
-3.4408793,6.538533,positive,5.0,Computers
-0.6954502,8.234961,positive,5.0,Car Electronics
-3.9493732,6.31664,neutral,3.0,Home Audio & Theater
1.7870376,3.2786124,negative,2.0,Computers
2.9805999,7.5586653,negative,1.0,Computers
3.8403585,6.3899407,negative,2.0,Computers
0.7540325,6.6161203,positive,4.0,All Electronics
2.377594,7.698342,positive,5.0,Amazon Devices
-1.0018688,6.1061845,neutral,3.0,Computers
0.37931854,8.873187,negative,2.0,Camera & Photo
-0.7973272,4.967915,negative,1.0,Computers
-3.4464638,6.8543663,positive,5.0,Computers
1.0346906,8.278465,negative,1.0,Office Products
-2.1827273,4.283756,positive,4.0,All Electronics
3.911855,4.9296784,positive,5.0,Cell Phones & Accessories
-0.629643,8.435888,neutral,3.0,Camera & Photo
-3.800742,5.758768,negative,1.0,All Electronics
0.096102275,4.132276,positive,5.0,Computers
2.5022068,5.629706,neutral,3.0,All Electronics
0.58254343,6.241678,positive,5.0,Cell Phones & Accessories
0.23647994,5.4604425,negative,1.0,Cell Phones & Accessories
-0.8199849,8.418549,neutral,3.0,Camera & Photo
0.9177514,5.4398956,negative,1.0,All Electronics
3.2649837,2.0481236,positive,4.0,All Electronics
3.1711752,2.161098,negative,2.0,Apple Products
2.9327562,1.8655319,negative,2.0,
0.47493395,7.932013,negative,2.0,Camera & Photo
1.6675043,5.237287,negative,1.0,Home Audio & Theater
0.28804693,3.1116073,positive,5.0,Amazon Home
2.7343366,6.3408256,positive,4.0,Computers
0.14614674,4.5101895,positive,5.0,Home Audio & Theater
-3.8355136,5.8165245,negative,1.0,Cell Phones & Accessories
1.9164948,7.200025,positive,5.0,Amazon Devices
2.2431042,5.7293134,positive,5.0,Amazon Devices
1.3456484,1.3757142,negative,2.0,Home Audio & Theater
1.7439493,4.016103,positive,5.0,Cell Phones & Accessories
-1.6338569,5.355686,positive,5.0,All Electronics
1.1513184,4.0926523,negative,2.0,Cell Phones & Accessories
2.4045782,5.571563,neutral,3.0,Computers
1.9459268,7.6790934,positive,5.0,Computers
3.934295,5.536675,neutral,3.0,
0.9853834,4.7980905,neutral,3.0,All Electronics
1.107491,4.594437,positive,5.0,Camera & Photo
1.3312694,6.4206104,positive,5.0,Cell Phones & Accessories
2.2073488,3.4462645,negative,1.0,All Electronics
3.2921982,6.827994,neutral,3.0,Camera & Photo
-2.1947753,4.304251,negative,1.0,All Electronics
2.6209009,1.7775632,neutral,3.0,Cell Phones & Accessories
0.6501844,5.131493,neutral,3.0,Computers
0.26414216,5.75689,positive,5.0,All Electronics
-0.62246126,9.136509,negative,1.0,Camera & Photo
1.3323824,3.0376177,neutral,3.0,All Electronics
1.3244833,7.75559,positive,5.0,Computers
-0.5280312,8.508243,negative,1.0,Cell Phones & Accessories
1.0170643,2.458383,neutral,3.0,All Electronics
0.24255952,8.7180605,neutral,3.0,Camera & Photo
3.490459,8.182078,positive,4.0,Computers
2.7277505,6.784109,negative,1.0,Computers
1.8850662,5.8648996,neutral,3.0,Camera & Photo
-0.37373126,6.2287416,positive,5.0,All Electronics
3.8524077,7.2844667,positive,5.0,AMAZON FASHION
2.2616172,6.321042,neutral,3.0,Camera & Photo
-2.1310582,4.1313634,neutral,3.0,Amazon Devices
-0.23641606,7.1316357,neutral,3.0,All Electronics
2.5507395,8.1630535,positive,5.0,Amazon Devices
-0.2674606,7.876395,positive,5.0,
0.6187758,6.6925044,positive,5.0,Computers
-0.36656535,4.2208276,positive,5.0,Computers
2.3937018,1.8551656,positive,5.0,All Electronics
-0.17405736,4.7924094,neutral,3.0,All Electronics
-0.8598241,2.2151353,positive,5.0,Amazon Devices
-1.0166804,6.215888,negative,1.0,Computers
1.4578898,1.7931695,positive,4.0,All Electronics
1.2203864,1.7550032,neutral,3.0,Home Audio & Theater
3.095783,8.245589,positive,4.0,All Electronics
-1.2638599,6.15804,negative,1.0,Computers
2.7332027,2.4887612,neutral,3.0,All Electronics
0.4593735,6.784379,negative,1.0,All Electronics
0.3648904,4.605398,neutral,3.0,All Electronics
2.5925646,6.674752,negative,2.0,All Electronics
2.0177712,1.9188665,positive,4.0,All Electronics
-1.5115484,3.8401754,neutral,3.0,All Electronics
3.1673295,8.462705,neutral,3.0,Cell Phones & Accessories
2.096438,5.028415,neutral,3.0,All Electronics
-3.3280475,5.957875,neutral,3.0,Health & Personal Care
-0.6824796,8.787068,negative,1.0,Camera & Photo
-0.9722766,8.711958,neutral,3.0,Camera & Photo
2.078327,6.012611,positive,4.0,All Electronics
-0.63313484,4.615336,positive,5.0,Cell Phones & Accessories
1.5281754,4.7253985,positive,5.0,Computers
0.8172581,2.4057686,neutral,3.0,Portable Audio & Accessories
0.32565737,6.178439,positive,5.0,Computers
2.6576715,8.660852,neutral,3.0,Cell Phones & Accessories
-0.61229223,5.0876875,negative,1.0,All Electronics
0.54831564,4.3391023,neutral,3.0,Computers
1.8487749,4.029788,neutral,3.0,Cell Phones & Accessories
-1.271533,6.036339,negative,1.0,All Electronics
1.145707,1.5412362,positive,5.0,Automotive
3.312323,2.7179222,neutral,3.0,Apple Products
-0.2956419,8.885121,neutral,3.0,All Electronics
1.473272,2.1997843,neutral,3.0,Amazon Devices
2.4111917,1.8050061,negative,2.0,Cell Phones & Accessories
3.460919,8.167102,positive,5.0,Computers
2.762684,8.358331,positive,4.0,Computers
0.86160815,4.024016,positive,5.0,Cell Phones & Accessories
3.8325357,7.1868076,positive,5.0,Computers
-0.6146951,5.1235456,positive,5.0,All Electronics
1.7338092,3.2182648,negative,2.0,Home Audio & Theater
0.76077867,5.483075,negative,2.0,Amazon Devices
1.0189602,5.288581,negative,2.0,Computers
2.9768672,7.5403023,negative,2.0,Computers
-1.3610735,6.0470753,negative,2.0,Computers
3.72948,7.4368496,neutral,3.0,Office Products
-0.4150021,8.284875,negative,2.0,Cell Phones & Accessories
3.279543,6.367142,neutral,3.0,All Electronics
2.6165133,7.9368906,positive,5.0,Computers
-1.6068196,5.725376,positive,5.0,Home Audio & Theater
0.49087048,6.156452,positive,5.0,Computers
-0.54096055,8.773803,neutral,3.0,Computers
1.6749237,4.6782107,neutral,3.0,Computers
1.0641261,2.0837245,positive,5.0,Cell Phones & Accessories
-3.3427129,5.9473224,neutral,3.0,Home Audio & Theater
0.4130307,4.358265,negative,1.0,Computers
-1.9506862,4.259916,positive,5.0,All Electronics
2.3947067,6.0669594,positive,5.0,Industrial & Scientific
1.0377191,7.085208,positive,5.0,Computers
-0.4989399,4.0328197,neutral,3.0,All Electronics
-0.26195508,6.5571365,negative,1.0,Computers
3.0214794,7.370796,negative,1.0,Computers
9.566907,6.415913,negative,2.0,Computers
0.00810244,7.596219,negative,1.0,
1.4637555,4.674741,negative,1.0,All Electronics
-0.93625927,3.2056835,negative,2.0,All Electronics
0.39288858,5.4903383,negative,1.0,Computers
1.5110013,5.532708,negative,1.0,Camera & Photo
-0.71758485,9.057805,positive,4.0,Camera & Photo
1.6697117,4.5041056,neutral,3.0,All Electronics
2.325801,5.6029816,positive,5.0,Computers
0.5218022,2.1207514,neutral,3.0,Cell Phones & Accessories
-0.022574322,5.045138,negative,1.0,All Electronics
1.2375717,4.164838,positive,5.0,Cell Phones & Accessories
2.2507591,7.6624737,neutral,3.0,Computers
-0.5410397,4.808561,positive,5.0,Computers
3.4978728,4.6140385,neutral,3.0,Home Audio & Theater
0.24572282,3.0767198,negative,2.0,All Electronics
-3.8845165,6.4197545,neutral,3.0,All Electronics
3.2903173,6.53752,negative,1.0,Computers
1.9017509,3.05607,neutral,3.0,Computers
0.6331889,5.564802,negative,1.0,All Electronics
-3.20026,6.713804,positive,5.0,Amazon Devices
0.12861441,9.093412,negative,2.0,Camera & Photo
-0.4710075,9.262571,negative,2.0,Camera & Photo
1.1658368,2.1302636,neutral,3.0,All Electronics
-0.22929892,6.177203,positive,5.0,All Electronics
-0.23332925,6.445315,neutral,3.0,
0.36061442,4.619341,positive,5.0,Home Audio & Theater
1.4203647,2.0665936,neutral,3.0,All Electronics
2.994402,7.7632947,neutral,3.0,All Electronics
0.6258266,4.1007047,positive,5.0,Cell Phones & Accessories
1.7567836,7.148921,negative,1.0,Amazon Devices
2.6355338,5.8536496,neutral,3.0,Camera & Photo
-2.090675,4.513402,positive,5.0,All Electronics
-3.8110044,5.7715626,negative,1.0,All Electronics
-1.5633914,4.5569835,neutral,3.0,All Electronics
2.8265355,5.325676,neutral,3.0,Camera & Photo
0.13982436,4.314994,negative,1.0,Computers
2.736884,2.073245,positive,5.0,Industrial & Scientific
2.8513007,2.2627199,negative,1.0,All Electronics
1.1719307,8.21309,negative,1.0,Camera & Photo
2.181414,8.074471,neutral,3.0,Computers
0.5694925,7.8705416,neutral,3.0,Camera & Photo
1.4209074,2.383061,neutral,3.0,All Electronics
-3.147966,6.592785,negative,1.0,Computers
-0.032891806,4.284596,neutral,3.0,Home Audio & Theater
1.5470846,2.2978098,negative,1.0,Computers
2.0854666,8.111499,neutral,3.0,Computers
0.025096016,7.5731626,positive,4.0,Computers
0.8889784,8.294132,positive,5.0,All Electronics
1.1576478,4.1118865,negative,2.0,Apple Products
-2.0305421,4.0824585,positive,4.0,All Electronics
-1.0230803,4.899442,positive,5.0,Computers
-2.225602,4.336511,positive,5.0,All Electronics
2.063518,2.5376992,neutral,3.0,All Electronics
1.3051468,4.5928555,negative,2.0,Cell Phones & Accessories
0.46049103,8.05448,neutral,3.0,Camera & Photo
-1.4396111,6.083482,neutral,3.0,Computers
-0.29761967,6.716762,neutral,3.0,Computers
-0.84962434,8.422767,negative,1.0,Computers
-0.8540831,8.812113,neutral,3.0,Camera & Photo
-0.72543526,5.118498,neutral,3.0,Computers
0.85686624,5.9984365,positive,4.0,Computers
2.3342242,2.9625194,positive,5.0,Cell Phones & Accessories
1.341096,4.2091575,neutral,3.0,Video Games
0.6409233,7.077596,neutral,3.0,Computers
1.1733716,4.1703267,negative,1.0,Cell Phones & Accessories
-3.6089082,6.790241,positive,5.0,Computers
-2.1802337,4.2401657,positive,5.0,Home Audio & Theater
-0.3170275,8.654659,neutral,3.0,Computers
3.3848977,6.345483,negative,1.0,Computers
1.3397964,1.4476767,positive,5.0,All Electronics
0.6846326,4.425501,neutral,3.0,All Electronics
-0.2535167,6.5490856,negative,2.0,All Electronics
0.16653316,4.955338,neutral,3.0,Computers
-1.4053258,7.8141527,negative,2.0,Amazon Devices
2.738025,2.62727,negative,1.0,Apple Products
-1.2592174,3.8393917,positive,5.0,Amazon Devices
9.5759945,6.435868,negative,1.0,Camera & Photo
-1.4411616,6.1484423,negative,1.0,Computers
1.9790334,4.1995835,neutral,3.0,Computers
2.1881118,8.295528,positive,4.0,Computers
2.7500823,8.440967,positive,5.0,Computers
0.58464885,8.03836,negative,1.0,Amazon Home
3.0255048,8.621118,neutral,3.0,Computers
0.7550185,2.206329,positive,5.0,All Electronics
-0.7251225,5.0586505,negative,1.0,All Electronics
-0.8993653,7.775616,neutral,3.0,Tools & Home Improvement
2.2085617,8.949448,negative,2.0,Computers
-1.5655885,4.0428267,positive,4.0,All Electronics
-1.3546394,7.015706,negative,1.0,Computers
1.3246537,1.5532591,positive,4.0,Home Audio & Theater
-0.738205,2.1412446,positive,5.0,Amazon Devices
-0.8279485,6.160545,negative,2.0,All Electronics
-2.2020543,4.1758175,neutral,3.0,Industrial & Scientific
0.9039958,5.191457,neutral,3.0,Computers
1.1948657,2.4778414,positive,5.0,Home Audio & Theater
-0.48073316,8.354453,negative,1.0,Camera & Photo
-0.38670984,5.1657615,negative,1.0,Camera & Photo
-0.16973457,5.4320645,negative,1.0,All Electronics
0.37922266,4.897788,neutral,3.0,All Electronics
-0.5501311,9.285178,negative,1.0,Camera & Photo
-1.3352609,8.1141815,negative,1.0,Camera & Photo
2.6855698,5.9981976,positive,5.0,Camera & Photo
4.033011,7.3782597,positive,5.0,Camera & Photo
-0.4932821,8.960976,positive,5.0,Camera & Photo
-3.871288,5.978127,negative,1.0,Amazon Home
-3.2184308,5.9348283,neutral,3.0,All Electronics
0.41107187,6.182382,positive,5.0,All Electronics
2.5093188,5.903335,positive,5.0,All Electronics
1.6145582,3.669761,negative,1.0,All Electronics
2.3471177,2.458198,negative,2.0,Home Audio & Theater
1.2234625,1.4953556,positive,5.0,All Electronics
-1.6522936,5.5917473,negative,1.0,All Electronics
-0.91637045,8.449504,neutral,3.0,Camera & Photo
2.161821,6.289428,negative,1.0,Computers
-3.6222596,5.6721587,negative,1.0,Home Audio & Theater
-0.85490173,5.150365,negative,1.0,Computers
2.45546,5.692684,positive,4.0,Cell Phones & Accessories
2.6295955,6.638959,negative,1.0,Camera & Photo
0.015765946,4.0167847,positive,5.0,All Electronics
-0.8068301,8.474392,positive,4.0,All Electronics
0.8320771,8.863042,positive,5.0,All Electronics
2.69114,2.4870849,neutral,3.0,All Electronics
0.678688,6.950605,neutral,3.0,Computers
0.13359082,4.0596046,neutral,3.0,Cell Phones & Accessories
1.6990919,1.2694877,neutral,3.0,Home Audio & Theater
-0.52672756,5.207133,negative,1.0,Computers
-1.4498851,6.390635,neutral,3.0,All Electronics
1.7402052,7.1566896,positive,5.0,Amazon Devices
2.3274357,5.617492,positive,5.0,Cell Phones & Accessories
0.3610527,7.8687873,neutral,3.0,Computers
2.0040202,7.7922645,positive,5.0,Tools & Home Improvement
1.6331756,3.0841975,negative,2.0,Computers
-0.81272954,9.085476,neutral,3.0,Cell Phones & Accessories
3.050594,2.1156504,neutral,3.0,All Electronics
-0.25403383,5.8542933,negative,1.0,All Electronics
2.769693,7.129213,neutral,3.0,Amazon Devices
0.29575932,5.055536,negative,1.0,All Electronics
2.2298808,6.9428163,neutral,3.0,Camera & Photo
-1.395461,3.810454,positive,5.0,Amazon Devices
2.0248513,2.7565875,positive,5.0,All Electronics
3.0084739,8.182227,positive,5.0,Computers
1.7082484,1.3311055,negative,1.0,Car Electronics
-0.083618425,7.766979,positive,5.0,Computers
-3.830334,6.077496,negative,1.0,Cell Phones & Accessories
-0.78396416,8.52893,positive,5.0,Cell Phones & Accessories
3.2456062,8.168862,neutral,3.0,Computers
0.69343066,5.016378,negative,1.0,Computers
-1.0718004,8.353471,positive,5.0,Computers
3.4108536,4.614702,positive,5.0,All Electronics
2.397004,2.041241,negative,1.0,All Electronics
-0.20092407,7.1535563,positive,5.0,All Electronics
1.5853134,1.86402,neutral,3.0,All Electronics
-0.09666365,7.0675945,neutral,3.0,Computers
2.262592,8.8904295,positive,5.0,Cell Phones & Accessories
0.5117998,5.788363,positive,5.0,All Electronics
1.4204752,1.3683774,neutral,3.0,All Electronics
3.9185355,7.2625556,positive,5.0,Computers
2.713044,7.8042307,negative,1.0,Cell Phones & Accessories
-0.8270869,4.9641066,neutral,3.0,
-1.1388077,8.333023,neutral,3.0,Camera & Photo
-0.6962974,9.180686,neutral,3.0,Camera & Photo
-0.27391338,6.748525,negative,1.0,All Electronics
3.8239424,5.3258286,negative,1.0,AMAZON FASHION
1.35107,3.490667,negative,1.0,Cell Phones & Accessories
0.5908216,6.1915913,positive,5.0,Camera & Photo
2.153791,5.808905,positive,5.0,Computers
1.1959547,4.6776214,neutral,3.0,All Electronics
2.0944357,8.891833,negative,2.0,Cell Phones & Accessories
3.309753,2.4330318,positive,5.0,All Electronics
0.6766627,8.482268,neutral,3.0,Camera & Photo
0.9860298,1.6484082,positive,5.0,Home Audio & Theater
3.787228,6.957128,neutral,3.0,Cell Phones & Accessories
3.1206362,2.6389256,neutral,3.0,Apple Products
3.7150004,7.0267534,negative,1.0,Computers
-1.1471735,7.8228126,negative,1.0,Industrial & Scientific
2.5215569,8.127333,positive,5.0,Cell Phones & Accessories
-1.402957,5.886083,neutral,3.0,Computers
-1.1922182,4.0029173,negative,2.0,All Electronics
-3.004976,6.4974327,positive,4.0,Cell Phones & Accessories
1.7978619,8.670636,neutral,3.0,Automotive
-3.8677368,6.028022,negative,1.0,Computers
-0.31389162,6.6583896,negative,1.0,All Electronics
1.809302,4.753647,negative,1.0,Camera & Photo
1.5740144,3.9606411,negative,1.0,Computers
-3.7755787,6.2848573,negative,1.0,Apple Products
0.63675505,5.8255863,negative,2.0,Computers
0.08180293,5.409196,negative,1.0,Cell Phones & Accessories
1.0143214,8.460417,negative,1.0,Camera & Photo
1.680894,7.062703,negative,2.0,Amazon Devices
0.44891527,4.3317914,positive,5.0,Office Products
1.6169868,4.6117773,negative,1.0,Home Audio & Theater
4.063979,5.4472847,negative,1.0,Sports & Outdoors
1.6221195,5.6864786,positive,5.0,Computers
2.524188,2.1254694,positive,5.0,All Electronics
2.2927384,7.624377,neutral,3.0,Computers
3.3945174,2.9570167,negative,1.0,All Electronics
1.9412465,7.8519583,neutral,3.0,Cell Phones & Accessories
2.8365486,5.779137,neutral,3.0,Amazon Devices
0.7667952,6.8562407,positive,4.0,Computers
-1.4482057,6.1821876,positive,5.0,Computers
2.631884,8.515162,neutral,3.0,Amazon Devices
-3.7162833,6.106951,neutral,3.0,Computers
2.917252,7.643012,positive,5.0,Amazon Devices
1.3928963,5.5273037,negative,1.0,Computers
-0.83058906,8.606329,positive,5.0,Automotive
-3.9666493,6.342711,neutral,3.0,All Electronics
-3.7461603,5.878817,negative,1.0,All Electronics
-0.8588636,8.39715,neutral,3.0,Camera & Photo
1.5734924,3.9781291,positive,4.0,All Electronics
9.595653,6.4431386,positive,5.0,Industrial & Scientific
-3.3318927,6.3528438,positive,5.0,All Electronics
-3.9042094,6.3200016,neutral,3.0,Computers
-0.9183062,6.105746,positive,5.0,Computers
0.95515394,3.3355913,neutral,3.0,All Electronics
1.8471979,6.4523597,positive,5.0,Amazon Devices
3.0684566,7.6721497,neutral,3.0,Amazon Devices
3.6938035,6.9285965,neutral,3.0,Camera & Photo
-0.0035840897,4.133923,positive,5.0,Computers
0.44101176,3.7454844,neutral,3.0,Computers
3.190983,8.5228195,negative,2.0,Cell Phones & Accessories
-1.3053275,8.032799,negative,1.0,Camera & Photo
-0.22619906,6.139746,positive,4.0,Computers
-0.15996943,4.24548,neutral,3.0,Cell Phones & Accessories
-0.842379,4.7920337,neutral,3.0,Computers
-3.5943086,5.637108,negative,1.0,Automotive
1.602578,1.4018652,positive,5.0,All Electronics
0.6596081,4.9631805,negative,1.0,Industrial & Scientific
2.752945,7.1276827,neutral,3.0,Amazon Home
2.4485278,8.030794,neutral,3.0,Amazon Devices
-0.9699213,4.963806,positive,5.0,Computers
2.2511876,2.4825988,negative,1.0,Camera & Photo
1.600154,7.3679185,neutral,3.0,Amazon Devices
-0.7386192,2.115103,neutral,3.0,Amazon Devices
1.6369163,4.3581214,negative,1.0,All Electronics
3.9820402,7.272495,positive,5.0,AMAZON FASHION
-0.3274314,8.961741,negative,1.0,Automotive
1.3685284,2.8835924,negative,2.0,Cell Phones & Accessories
1.7502755,6.5067353,neutral,3.0,All Electronics
-1.7659878,5.464353,neutral,3.0,All Electronics
1.1839743,4.7739177,neutral,3.0,Camera & Photo
1.6018972,1.6967875,positive,5.0,Home Audio & Theater
-2.3046494,4.3491983,neutral,3.0,Amazon Devices
1.0715625,8.447589,positive,5.0,All Electronics
-1.2407346,3.882694,neutral,3.0,Amazon Devices
3.0147305,1.8949976,neutral,3.0,All Electronics
-1.1464734,6.45925,positive,5.0,All Electronics
-3.7225592,5.7029405,negative,2.0,Cell Phones & Accessories
-0.40516412,6.780509,positive,5.0,All Electronics
1.023235,1.7571765,neutral,3.0,Amazon Devices
1.1210847,4.977974,negative,2.0,Cell Phones & Accessories
2.6918836,5.841314,positive,5.0,Cell Phones & Accessories
-0.8116693,2.1866848,neutral,3.0,Amazon Devices
-3.499451,5.7491193,negative,2.0,Home Audio & Theater
-1.6990929,4.199872,negative,1.0,All Electronics
-3.9100738,5.7775335,negative,1.0,All Electronics
1.3963137,7.1156244,negative,1.0,Cell Phones & Accessories
0.7395567,4.599748,positive,5.0,Computers
-0.21227564,4.2787104,positive,5.0,All Electronics
3.2061844,7.9626646,neutral,3.0,Computers
-0.9595081,3.7040033,neutral,3.0,Amazon Devices
1.7661963,1.5781391,negative,1.0,Computers
-0.99972284,6.7869716,negative,1.0,All Electronics
0.93036264,4.6588154,negative,2.0,Home Audio & Theater
-3.2663643,6.5001135,positive,5.0,Computers
-1.0077076,8.251514,negative,2.0,Camera & Photo
-1.16883,3.4026783,negative,1.0,All Electronics
2.571561,5.4482126,positive,5.0,Automotive
0.2932796,7.0832195,negative,1.0,Computers
1.7839088,5.580167,neutral,3.0,Computers
-0.030184846,4.3911943,negative,1.0,All Electronics
1.858855,7.117948,positive,5.0,Amazon Devices
2.884008,5.544009,positive,5.0,Amazon Home
3.1830328,8.053072,neutral,3.0,Computers
-3.6546612,5.945569,negative,1.0,All Electronics
1.33077,7.544224,positive,4.0,Computers
2.525401,8.503956,negative,2.0,
-0.75800127,8.50648,positive,5.0,Camera & Photo
-1.6988455,4.109504,neutral,3.0,All Electronics
9.594045,6.409201,positive,5.0,All Electronics
0.55292135,3.9019852,neutral,3.0,Computers
1.0112654,7.5196824,negative,2.0,Computers
1.5334469,3.718304,negative,1.0,Computers
0.8795641,5.2580204,negative,1.0,All Electronics
3.5503201,8.233819,neutral,3.0,Computers
0.5759452,2.8108797,neutral,3.0,Computers
0.7661182,2.4329894,positive,4.0,Industrial & Scientific
2.2737055,8.911617,neutral,3.0,Computers
1.2755731,7.728351,positive,5.0,Computers
1.7476758,4.522398,neutral,3.0,Camera & Photo
3.8374617,7.2254972,neutral,3.0,
3.8559763,6.998184,positive,5.0,
2.3063183,8.525393,negative,2.0,All Electronics
0.6554357,4.2021832,positive,5.0,Cell Phones & Accessories
0.24316074,3.076053,positive,4.0,All Electronics
0.271043,3.1253104,positive,5.0,All Electronics
2.3238745,6.0002203,positive,5.0,Amazon Devices
-3.5672212,6.352299,positive,5.0,Appliances
2.859677,5.7938523,positive,5.0,Computers
-2.2321942,4.2426867,neutral,3.0,All Electronics
3.7685416,5.9137034,negative,2.0,All Electronics
